Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Tipo: Municipio / Isla / Área no municipalizada,longitud,Latitud,IATA,ICAO,Airport name,Country,City,Information
5,ANTIOQUIA,5001,medellín,Municipio,"-75,581775","6,246631",EOH,SKMD,Enrique Olaya Herrera Airport,Colombia,medellín,https://www.worlddata.info/america/colombia/airports.php
5,ANTIOQUIA,5001,medellín,Municipio,"-75,581775","6,246631",MDE,SKRG,Jose Maria Córdova International Airport,Colombia,medellín,https://www.worlddata.info/america/colombia/airports.php
5,ANTIOQUIA,5031,amalfi,Municipio,"-75,077501","6,909655",AFI,SKAM,Amalfi Airport,Colombia,amalfi,https://www.worlddata.info/america/colombia/airports.php
5,ANTIOQUIA,5051,arboletes,Municipio,"-76,426708","8,849317",ARO,,Arboletes Airport,Colombia,arboletes,https://www.worlddata.info/america/colombia/airports.php
5,ANTIOQUIA,5059,armenia,Municipio,"-75,786647","6,155667",AXM,SKAR,El Eden Airport,Colombia,armenia,https://www.worlddata.info/america/colombia/airports.php
5,ANTIOQUIA,5059,armenia,Municipio,"-75,786647","6,155667",NAR,SKPN,Puerto Nare Airport,Colombia,armenia,https://www.worlddata.info/america/colombia/airports.php
5,ANTIOQUIA,5147,carepa,Municipio,"-76,652652","7,755148",APO,SKLC,Antonio Roldán Betancur Airport,Colombia,carepa,https://www.worlddata.info/america/colombia/airports.php
5,ANTIOQUIA,5154,caucasia,Municipio,"-75,197996","7,977278",CAQ,SKCU,Juan H White Airport,Colombia,caucasia,https://www.worlddata.info/america/colombia/airports.php
5,ANTIOQUIA,5172,chigorodó,Municipio,"-76,681531","7,666147",IGO,SKIG,Jaime Ortiz Betancourt Airport,Colombia,chigorodó,https://www.worlddata.info/america/colombia/airports.php
5,ANTIOQUIA,5250,el bagre,Municipio,"-74,799097","7,5975",EBG,SKEB,El Bagre Airport,Colombia,el bagre,https://www.worlddata.info/america/colombia/airports.php
5,ANTIOQUIA,5665,san pedro de urabá,Municipio,"-76,380567","8,276884",NPU,,San Pedro Airport,Colombia,san pedro de urabá,https://www.worlddata.info/america/colombia/airports.php
5,ANTIOQUIA,5847,urrao,Municipio,"-76,133951","6,317343",URR,SKUR,Urrao Airport,Colombia,urrao,https://www.worlddata.info/america/colombia/airports.php
8,ATLÁNTICO,8001,barranquilla,Municipio,"-74,815546","10,977961",BAQ,SKBQ,Ernesto Cortissoz International Airport,Colombia,barranquilla,https://www.worlddata.info/america/colombia/airports.php
13,BOLÍVAR,13430,magangué,Municipio,"-74,766742","9,263799",MGN,SKMG,Baracoa Airport,Colombia,magangué,https://www.worlddata.info/america/colombia/airports.php
15,BOYACÁ,15317,guacamayas,Municipio,"-72,500812","6,459667",GCA,,Guacamayas Airport,Colombia,guacamayas,https://www.worlddata.info/america/colombia/airports.php
